time,month,day,weather_pred
1,4,25,"пасм, 80% дождь, ветерок"
1,4,26,"обл с пр, 21%, ветер"
1,4,27,"ясно, ветерок"
1,4,28,ясно
1,4,29,обл с пр
1,4,30,"пасм, 71%, ветерок"
1,5,1,ясно
1,5,2,"пасм, 12%"
1,5,3,"пасм, 67% ливень, ветер"
1,5,4,ясно
1,5,5,ясно
1,5,6,ясно
1,5,7,обл с пр
1,5,8,ясно
1,5,9,ясно
1,5,10,"ясно, 24%"
1,5,11,"ясно, 33%"
1,5,12,ясно
1,5,13,п/обл
1,5,14,обл с пр
1,5,15,ясно
1,5,16,"пасм, 16% дождь"
1,5,17,п/обл
1,5,18,пасмурно
1,5,19,пасмурно
1,5,20,пасмурно
1,5,21,ясно
1,5,22,обл с пр
1,5,23,пасмурно
1,5,24,облачно
1,5,25,пер.обл.
1,5,26,ясно
1,5,27,ясно
1,5,28,обл с пр
1,5,29,ясно
1,5,30,ясно
1,5,31,ясно
1,6,1,ясно
1,6,2,малообл.
1,6,3,"ясно, сев.ветер"
1,6,4,облачно
1,6,5,пер.обл.
1,6,6,"ясно, сев.ветер"
1,6,10,облачно
1,6,11,ясно
1,6,12,ясно
1,6,13,облачно
1,6,14,облачно
1,6,15,пасмурно
1,6,16,обл с пр
1,6,17,"пасм, 23% ливень"
1,6,18,пасм
1,6,19,п/обл
1,6,20,облачно
1,6,21,"ясно, ощ.+21"
1,6,22,"пасмурно, дождь"
1,6,23,пер.обл.
1,6,24,"дождь 2,5 мм?"
1,6,25,пер.обл.
1,6,26,малообл.
1,6,27,облачно
1,6,28,облачно
1,6,29,пер.обл.
1,6,30,ясно
1,7,1,"дождь 4,6 мм"
1,7,2,облачно
1,7,3,ясно
1,7,4,ясно
1,7,5,ясно
1,7,6,"пасм, 80% дождь"
1,7,7,ясно
1,7,8,п/обл
1,7,9,ясно
1,7,10,п/обл
1,7,11,"пасм, 75% дождь"
1,7,12,п/обл
1,7,13,ясно
1,7,14,п/обл
1,7,15,п/обл
1,7,16,облачно
1,7,17,ясно
1,7,18,"п/обл, 61%"
1,7,19,обл с пр
1,7,20,ясно
1,7,21,"ясно, 60%"
1,7,22,"пасм, 74% дождь"
1,7,23,ясно
1,7,24,"обл с пр, 54% дождь"
1,7,25,"пасм, 72%"
1,7,26,ясно
1,7,27,пасмурно
1,7,28,ясно
1,7,29,ясно
1,7,30,"пасм, 96% дождь"
1,7,31,"ясно, 47%"
2,4,1,"пасм, 58%"
2,4,2,"пасм, 61% снег+д"
2,4,3,п/обл
2,4,4,"обл с пр, 42% снег"
2,4,5,"пасм, 68% "
2,4,6,"пасм, 21%"
2,4,7,"пасм, 54%"
2,4,8,пасмурно
2,4,9,"пасм, 67% дождь"
2,4,10,ясно 14%
2,4,11,ясно
2,4,12,"пасм, 61% дождь"
2,4,13,ясно
2,4,14,пасмурно
2,4,15,"пасм, ветер"
2,4,16,"пасм, 7% дождь"
2,4,17,ясно
2,4,18,обл с пр
2,4,19,"ясно, 18%"
2,4,20,"пасм, ветер"
2,4,21,ясно
2,4,22,ясно
2,4,23,ясно
2,4,24,"п/обл, 70%"
2,4,25,"пасм, 80% дождь, ветерок"
2,4,26,"обл с пр, 21%, ветер"
2,4,27,"ясно, ветерок"
2,4,28,ясно
2,4,29,обл с пр
2,4,30,"пасм, 71%, ветерок"
2,5,1,ясно
2,5,2,"пасм, 12%"
2,5,3,"пасм, 67% ливень, ветер"
2,5,4,ясно
2,5,5,ясно
2,5,6,ясно
2,5,7,обл с пр
2,5,8,ясно
2,5,9,ясно
2,5,10,"ясно, 24%"
2,5,11,"ясно, 33%"
2,5,12,ясно
2,5,13,п/обл
2,5,14,обл с пр
2,5,15,ясно
2,5,16,"пасм, 16% дождь"
2,5,17,п/обл
2,5,18,пасмурно
2,5,19,пасмурно
2,5,20,пасмурно
2,5,21,ясно
2,5,22,обл с пр
2,5,23,пасмурно
2,5,24,облачно
2,5,25,пер.обл.
2,5,26,ясно
2,5,27,ясно
2,5,28,обл с пр
2,5,29,ясно
2,5,30,ясно
2,5,31,ясно
2,6,1,ясно
2,6,2,малообл.
2,6,3,"ясно, сев.ветер"
2,6,4,облачно
2,6,5,пер.обл.
2,6,6,"ясно, сев.ветер"
2,6,10,облачно
2,6,11,ясно
2,6,12,ясно
2,6,13,облачно
2,6,14,облачно
2,6,15,пасмурно
2,6,16,обл с пр
2,6,17,"пасм, 23% ливень"
2,6,18,пасм
2,6,19,п/обл
2,6,20,облачно
2,6,21,"ясно, ощ.+21"
2,6,22,"пасмурно, дождь"
2,6,23,пер.обл.
2,6,24,"дождь 2,5 мм?"
2,6,25,пер.обл.
2,6,26,малообл.
2,6,27,облачно
2,6,28,облачно
2,6,29,пер.обл.
2,6,30,ясно
2,7,1,"дождь 4,6 мм"
2,7,2,облачно
2,7,3,ясно
2,7,4,ясно
2,7,5,ясно
2,7,6,"пасм, 80% дождь"
2,7,7,ясно
2,7,8,п/обл
2,7,9,ясно
2,7,10,п/обл
2,7,11,"пасм, 75% дождь"
2,7,12,п/обл
2,7,13,ясно
2,7,14,п/обл
2,7,15,п/обл
2,7,16,облачно
2,7,17,ясно
2,7,18,"п/обл, 61%"
2,7,19,обл с пр
2,7,20,ясно
2,7,21,"ясно, 60%"
2,7,22,"пасм, 74% дождь"
2,7,23,ясно
2,7,24,"обл с пр, 54% дождь"
2,7,25,"пасм, 72%"
2,7,26,ясно
2,7,27,пасмурно
2,7,28,ясно
2,7,29,ясно
2,7,30,"пасм, 96% дождь"
2,7,31,"ясно, 47%"
3,4,1,"пасм, 71% дождь"
3,4,2,"пасм, 61% снег+д"
3,4,3,п/обл
3,4,4,"обл с пр, 58% снег"
3,4,5,"пасм, 56%"
3,4,6,"пасм, 23%"
3,4,7,"пасм, 58%"
3,4,8,"пасм, 72%"
3,4,9,"пасм, 12% дождь"
3,4,10,"п/обл, 14%"
3,4,11,ясно
3,4,12,"пасм, 51% дождь"
3,4,13,пасм
3,4,14,пасмурно
3,4,15,"пасм, ветер"
3,4,16,"пасм, 10% дождь"
3,4,17,обл с пр
3,4,18,обл с пр
3,4,19,"ясно, 10%"
3,4,20,"пасм, ветер"
3,4,21,ясно
3,4,22,ясно
3,4,23,ясно
3,4,24,"п/обл, 54%"
3,4,25,"пасм, 83% дождь, ветерок"
3,4,26,"ясно, ветер"
3,4,27,"ясно, ветерок"
3,4,28,ясно
3,4,29,обл с пр
3,4,30,"пасм, 23%, ветерок"
3,5,1,пасм
3,5,2,"пасм, 24%"
3,5,3,"пасм, 60% ливень, ветер"
3,5,4,ясно
3,5,5,ясно
3,5,6,ясно
3,5,7,обл с пр
3,5,8,ясно
3,5,9,ясно
3,5,10,"ясно, 19%"
3,5,11,"ясно, 40%"
3,5,12,ясно
3,5,13,ясно
3,5,14,обл с пр
3,5,15,ясно
3,5,16,"пасм, 68% дождь"
3,5,17,"пасм, 14%"
3,5,18,пасмурно
3,5,19,пасмурно
3,5,20,"пасм, 11% дождь"
3,5,21,ясно
3,5,22,обл с пр
3,5,23,пасмурно
3,5,24,облачно
3,5,25,облачно
3,5,26,ясно
3,5,27,ясно
3,5,28,ясно
3,5,29,ясно
3,5,30,пасмурно
3,5,31,ясно
3,6,1,ясно
3,6,2,ясно
3,6,3,"ясно, сев.ветер"
3,6,4,ясно
3,6,5,ясно
3,6,6,"ясно, сев.ветер"
3,6,7,
3,6,8,
3,6,9,
3,6,10,ясно
3,6,11,ясно
3,6,12,ясно
3,6,13,облачно
3,6,14,облачно
3,6,15,пасмурно
3,6,16,обл с пр
3,6,17,"пасм, 42% ливень"
3,6,18,пасм
3,6,19,обл с пр
3,6,20,облачно
3,6,21,"ясно, ощ.+20"
3,6,22,"пасмурно, дождь"
3,6,23,облачно
3,6,24,"дождь 2,7 мм?"
3,6,25,пер.обл.
3,6,26,малообл.
3,6,27,"сл.дождь, 0,8 мм"
3,6,28,облачно
3,6,29,пер.обл.
3,6,30,ясно
3,7,1,"пер.обл., дождь 0,3 мм"
3,7,2,пер.обл.
3,7,3,ясно
3,7,4,малообл.
3,7,5,ясно
3,7,6,"пасм, 65% дождь"
3,7,7,ясно
3,7,8,ясно
3,7,9,ясно
3,7,10,ясно
3,7,11,"пасм, 61% дождь"
3,7,12,п/обл
3,7,13,ясно
3,7,14,"ясно, 51%"
3,7,15,ясно
3,7,16,ясно
3,7,17,обл с пр
3,7,18,"ясно, 73%"
3,7,19,обл с пр
3,7,20,ясно
3,7,21,"ясно, 75%"
3,7,22,"пасм, 75% дождь"
3,7,23,"пасм, 24%"
3,7,24,"обл с пр, 51%"
3,7,25,"обл с пр, 72%"
3,7,26,ясно
3,7,27,пасмурно
3,7,28,обл с пр
3,7,29,ясно
3,7,30,"пасм, 82% дождь"
3,7,31,"п/обл, 72%"
4,4,1,"пасм, 71% дождь"
4,4,2,"пасм, 61% снег+д"
4,4,3,п/обл
4,4,4,"обл с пр, 58% снег"
4,4,5,"пасм, 56%"
4,4,6,"пасм, 23%"
4,4,7,"пасм, 58%"
4,4,8,"пасм, 72%"
4,4,9,"пасм, 12% дождь"
4,4,10,"п/обл, 14%"
4,4,11,ясно
4,4,12,"пасм, 51% дождь"
4,4,13,пасм
4,4,14,пасмурно
4,4,15,"пасм, ветер"
4,4,16,"пасм, 10% дождь"
4,4,17,обл с пр
4,4,18,обл с пр
4,4,19,"ясно, 10%"
4,4,20,"пасм, ветер"
4,4,21,ясно
4,4,22,ясно
4,4,23,ясно
4,4,24,"п/обл, 54%"
4,4,25,"пасм, 83% дождь, ветерок"
4,4,26,"ясно, ветер"
4,4,27,"ясно, ветерок"
4,4,28,ясно
4,4,29,обл с пр
4,4,30,"пасм, 23%, ветерок"
4,5,1,пасм
4,5,2,"пасм, 24%"
4,5,3,"пасм, 60% ливень, ветер"
4,5,4,ясно
4,5,5,ясно
4,5,6,ясно
4,5,7,обл с пр
4,5,8,ясно
4,5,9,ясно
4,5,10,"ясно, 19%"
4,5,11,"ясно, 40%"
4,5,12,ясно
4,5,13,ясно
4,5,14,обл с пр
4,5,15,ясно
4,5,16,"пасм, 68% дождь"
4,5,17,"пасм, 14%"
4,5,18,пасмурно
4,5,19,пасмурно
4,5,20,"пасм, 11% дождь"
4,5,21,ясно
4,5,22,обл с пр
4,5,23,пасмурно
4,5,24,облачно
4,5,25,облачно
4,5,26,ясно
4,5,27,ясно
4,5,28,ясно
4,5,29,ясно
4,5,30,пасмурно
4,5,31,ясно
4,6,1,ясно
4,6,2,ясно
4,6,3,"ясно, сев.ветер"
4,6,4,ясно
4,6,5,ясно
4,6,6,"ясно, сев.ветер"
4,6,10,ясно
4,6,11,ясно
4,6,12,ясно
4,6,13,облачно
4,6,14,облачно
4,6,15,пасмурно
4,6,16,обл с пр
4,6,17,"пасм, 42% ливень"
4,6,18,пасм
4,6,19,обл с пр
4,6,20,облачно
4,6,21,"ясно, ощ.+20"
4,6,22,"пасмурно, дождь"
4,6,23,облачно
4,6,24,"дождь 2,7 мм?"
4,6,25,пер.обл.
4,6,26,малообл.
4,6,27,"сл.дождь, 0,8 мм"
4,6,28,облачно
4,6,29,пер.обл.
4,6,30,ясно
4,7,1,"пер.обл., дождь 0,3 мм"
4,7,2,пер.обл.
4,7,3,ясно
4,7,4,малообл.
4,7,5,ясно
4,7,6,"пасм, 65% дождь"
4,7,7,ясно
4,7,8,ясно
4,7,9,ясно
4,7,10,ясно
4,7,11,"пасм, 61% дождь"
4,7,12,п/обл
4,7,13,ясно
4,7,14,"ясно, 51%"
4,7,15,ясно
4,7,16,ясно
4,7,17,обл с пр
4,7,18,"ясно, 73%"
4,7,19,обл с пр
4,7,20,ясно
4,7,21,"ясно, 75%"
4,7,22,"пасм, 75% дождь"
4,7,23,"пасм, 24%"
4,7,24,"обл с пр, 51%"
4,7,25,"обл с пр, 72%"
4,7,26,ясно
4,7,27,пасмурно
4,7,28,обл с пр
4,7,29,ясно
4,7,30,"пасм, 82% дождь"
4,7,31,"п/обл, 72%"
5,4,1,"пасм, 71% дождь"
5,4,2,"пасм, 61% снег+д"
5,4,3,п/обл
5,4,4,"обл с пр, 58% снег"
5,4,5,"пасм, 56%"
5,4,6,"пасм, 23%"
5,4,7,"пасм, 58%"
5,4,8,"пасм, 72%"
5,4,9,"пасм, 12% дождь"
5,4,10,"п/обл, 14%"
5,4,11,ясно
5,4,12,"пасм, 51% дождь"
5,4,13,пасм
5,4,14,пасмурно
5,4,15,"пасм, ветер"
5,4,16,"пасм, 10% дождь"
5,4,17,обл с пр
5,4,18,обл с пр
5,4,19,"ясно, 10%"
5,4,20,"пасм, ветер"
5,4,21,ясно
5,4,22,ясно
5,4,23,ясно
5,4,24,"п/обл, 54%"
5,4,25,"пасм, 83% дождь, ветерок"
5,4,26,"ясно, ветер"
5,4,27,"ясно, ветерок"
5,4,28,ясно
5,4,29,обл с пр
5,4,30,"пасм, 23%, ветерок"
5,5,1,пасм
5,5,2,"пасм, 24%"
5,5,3,"пасм, 60% ливень, ветер"
5,5,4,ясно
5,5,5,ясно
5,5,6,ясно
5,5,7,обл с пр
5,5,8,ясно
5,5,9,ясно
5,5,10,"ясно, 19%"
5,5,11,"ясно, 40%"
5,5,12,ясно
5,5,13,ясно
5,5,14,обл с пр
5,5,15,ясно
5,5,16,"пасм, 68% дождь"
5,5,17,"пасм, 14%"
5,5,18,пасмурно
5,5,19,пасмурно
5,5,20,"пасм, 11% дождь"
5,5,21,ясно
5,5,22,обл с пр
5,5,23,пасмурно
5,5,24,облачно
5,5,25,облачно
5,5,26,ясно
5,5,27,ясно
5,5,28,ясно
5,5,29,ясно
5,5,30,пасмурно
5,5,31,ясно
5,6,1,ясно
5,6,2,ясно
5,6,3,"ясно, сев.ветер"
5,6,4,ясно
5,6,5,ясно
5,6,6,"ясно, сев.ветер"
5,6,10,ясно
5,6,11,ясно
5,6,12,ясно
5,6,13,облачно
5,6,14,облачно
5,6,15,пасмурно
5,6,16,обл с пр
5,6,17,"пасм, 42% ливень"
5,6,18,пасм
5,6,19,обл с пр
5,6,20,облачно
5,6,21,"ясно, ощ.+20"
5,6,22,"пасмурно, дождь"
5,6,23,облачно
5,6,24,"дождь 2,7 мм?"
5,6,25,пер.обл.
5,6,26,малообл.
5,6,27,"сл.дождь, 0,8 мм"
5,6,28,облачно
5,6,29,пер.обл.
5,6,30,ясно
5,7,1,"пер.обл., дождь 0,3 мм"
5,7,2,пер.обл.
5,7,3,ясно
5,7,4,малообл.
5,7,5,ясно
5,7,6,"пасм, 65% дождь"
5,7,7,ясно
5,7,8,ясно
5,7,9,ясно
5,7,10,ясно
5,7,11,"пасм, 61% дождь"
5,7,12,п/обл
5,7,13,ясно
5,7,14,"ясно, 51%"
5,7,15,ясно
5,7,16,ясно
5,7,17,обл с пр
5,7,18,"ясно, 73%"
5,7,19,обл с пр
5,7,20,ясно
5,7,21,"ясно, 75%"
5,7,22,"пасм, 75% дождь"
5,7,23,"пасм, 24%"
5,7,24,"обл с пр, 51%"
5,7,25,"обл с пр, 72%"
5,7,26,ясно
5,7,27,пасмурно
5,7,28,обл с пр
5,7,29,ясно
5,7,30,"пасм, 82% дождь"
5,7,31,"п/обл, 72%"
6,4,1,"пасм, 71% дождь"
6,4,2,"пасм, 12% снег+д, ветер"
6,4,3,п/обл
6,4,4,"пасм, 11% снег"
6,4,5,"пасм, 42%"
6,4,6,пасмурно
6,4,7,"пасм, 13%"
6,4,8,пасмурно
6,4,9,"пасм, 11%"
6,4,10,"п/обл, 14%"
6,4,11,п/обл
6,4,12,"пасм, 24% дождь"
6,4,13,пасм
6,4,14,пасмурно
6,4,15,"пасм, ветер"
6,4,16,"пасм, 14% дождь"
6,4,17,п/обл
6,4,18,"ясно, неб.ветерок"
6,4,19,"обл с пр, 71%"
6,4,20,"п/обл, ветер"
6,4,21,ясно
6,4,22,ясно
6,4,23,ясно
6,4,24,"обл с пр, 11%"
6,4,25,"пасм, 85% дождь, ветерок"
6,4,26,"пасмурно, ветер"
6,4,27,"пасм, 19% дождь, ветер"
6,4,28,"ясно, 11% дождь"
6,4,29,"обл, неб.ветер"
6,4,30,"ясно, ветерок"
6,5,1,"обл с пр, ветерок"
6,5,2,пасм
6,5,3,"пасм, 70% ливень, ветер"
6,5,4,ясно
6,5,5,"ясно, ветерок"
6,5,6,ясно
6,5,7,обл с пр
6,5,8,ясно
6,5,9,ясно
6,5,10,ясно
6,5,11,"ясно, ветер"
6,5,12,ясно
6,5,13,п/обл
6,5,14,п/обл
6,5,15,пасм
6,5,16,"пасм, 73%"
6,5,17,"пасм, 23%"
6,5,18,пасмурно
6,5,19,пасмурно
6,5,20,пасмурно
6,5,21,ясно
6,5,22,ясно
6,5,23,обл с пр
6,5,24,облачно
6,5,25,облачно
6,5,26,"ясно, ветер"
6,5,27,обл с пр
6,5,28,п/обл
6,5,29,ясно
6,5,30,п/обл
6,5,31,ясно
6,6,1,ясно
6,6,2,малообл.
6,6,3,"ясно, сев-зап.ветер"
6,6,4,пер.обл.
6,6,5,ясно
6,6,6,"ясно, сев-зап.ветер"
6,6,7,
6,6,8,
6,6,9,
6,6,10,ясно
6,6,11,ясно
6,6,12,ясно
6,6,13,облачно
6,6,14,облачно
6,6,15,пасмурно
6,6,16,пасм
6,6,17,"пасм, 54%  ливень"
6,6,18,пасм
6,6,19,обл с пр
6,6,20,облачно
6,6,21,"пер.обл., ощ.+23"
6,6,22,облачно
6,6,23,облачно
6,6,24,"дождь 5,9 мм?"
6,6,25,пер.обл.
6,6,26,малообл.
6,6,27,"дождь 11,2 мм"
6,6,28,"облачно, дождь 0,2мм"
6,6,29,пер.обл.
6,6,30,ясно
6,7,1,малообл.
6,7,2,облачно
6,7,3,ясно
6,7,4,пер.обл.
6,7,5,п/обл
6,7,6,"пасм, 10% дождь"
6,7,7,ясно
6,7,8,ясно
6,7,9,ясно
6,7,10,ясно
6,7,11,"пасм, 58% дождь"
6,7,12,ясно
6,7,13,п/обл
6,7,14,п/обл
6,7,15,обл с пр
6,7,16,обл с пр
6,7,17,ясно
6,7,18,"ясно, 54%"
6,7,19,обл с пр
6,7,20,пасмурно
6,7,21,"обл с пр, 60% дождь"
6,7,22,"пасм, 73% дождь"
6,7,23,"пасм, 47% дождь"
6,7,24,"пасм, 42%"
6,7,25,"ясно, 79%"
6,7,26,обл с пр
6,7,27,обл с пр
6,7,28,"пасм, 75%"
6,7,29,п/обл
6,7,30,"пасм, 78% дождь"
6,7,31,"ясно, 67%"
7,4,1,"пасм, 71% дождь"
7,4,2,"пасм, 12% снег+д, ветер"
7,4,3,п/обл
7,4,4,"пасм, 11% снег"
7,4,5,"пасм, 42%"
7,4,6,пасмурно
7,4,7,"пасм, 13%"
7,4,8,пасмурно
7,4,9,"пасм, 11%"
7,4,10,"п/обл, 14%"
7,4,11,п/обл
7,4,12,"пасм, 24% дождь"
7,4,13,пасм
7,4,14,пасмурно
7,4,15,"пасм, ветер"
7,4,16,"пасм, 14% дождь"
7,4,17,п/обл
7,4,18,"ясно, неб.ветерок"
7,4,19,"обл с пр, 71%"
7,4,20,"п/обл, ветер"
7,4,21,ясно
7,4,22,ясно
7,4,23,ясно
7,4,24,"обл с пр, 11%"
7,4,25,"пасм, 85% дождь, ветерок"
7,4,26,"пасмурно, ветер"
7,4,27,"пасм, 19% дождь, ветер"
7,4,28,"ясно, 11% дождь"
7,4,29,"обл, неб.ветер"
7,4,30,"ясно, ветерок"
7,5,1,"обл с пр, ветерок"
7,5,2,пасм
7,5,3,"пасм, 70% ливень, ветер"
7,5,4,ясно
7,5,5,"ясно, ветерок"
7,5,6,ясно
7,5,7,обл с пр
7,5,8,ясно
7,5,9,ясно
7,5,10,ясно
7,5,11,"ясно, ветер"
7,5,12,ясно
7,5,13,п/обл
7,5,14,п/обл
7,5,15,пасм
7,5,16,"пасм, 73%"
7,5,17,"пасм, 23%"
7,5,18,пасмурно
7,5,19,пасмурно
7,5,20,пасмурно
7,5,21,ясно
7,5,22,ясно
7,5,23,обл с пр
7,5,24,облачно
7,5,25,облачно
7,5,26,"ясно, ветер"
7,5,27,обл с пр
7,5,28,п/обл
7,5,29,ясно
7,5,30,п/обл
7,5,31,ясно
7,6,1,ясно
7,6,2,малообл.
7,6,3,"ясно, сев-зап.ветер"
7,6,4,пер.обл.
7,6,5,ясно
7,6,6,"ясно, сев-зап.ветер"
7,6,10,ясно
7,6,11,ясно
7,6,12,ясно
7,6,13,облачно
7,6,14,облачно
7,6,15,пасмурно
7,6,16,пасм
7,6,17,"пасм, 54%  ливень"
7,6,18,пасм
7,6,19,обл с пр
7,6,20,облачно
7,6,21,"пер.обл., ощ.+23"
7,6,22,облачно
7,6,23,облачно
7,6,24,"дождь 5,9 мм?"
7,6,25,пер.обл.
7,6,26,малообл.
7,6,27,"дождь 11,2 мм"
7,6,28,"облачно, дождь 0,2мм"
7,6,29,пер.обл.
7,6,30,ясно
7,7,1,малообл.
7,7,2,облачно
7,7,3,ясно
7,7,4,пер.обл.
7,7,5,п/обл
7,7,6,"пасм, 10% дождь"
7,7,7,ясно
7,7,8,ясно
7,7,9,ясно
7,7,10,ясно
7,7,11,"пасм, 58% дождь"
7,7,12,ясно
7,7,13,п/обл
7,7,14,п/обл
7,7,15,обл с пр
7,7,16,обл с пр
7,7,17,ясно
7,7,18,"ясно, 54%"
7,7,19,обл с пр
7,7,20,пасмурно
7,7,21,"обл с пр, 60% дождь"
7,7,22,"пасм, 73% дождь"
7,7,23,"пасм, 47% дождь"
7,7,24,"пасм, 42%"
7,7,25,"ясно, 79%"
7,7,26,обл с пр
7,7,27,обл с пр
7,7,28,"пасм, 75%"
7,7,29,п/обл
7,7,30,"пасм, 78% дождь"
7,7,31,"ясно, 67%"
8,4,1,"пасм, 71% дождь"
8,4,2,"пасм, 12% снег+д, ветер"
8,4,3,п/обл
8,4,4,"пасм, 11% снег"
8,4,5,"пасм, 42%"
8,4,6,пасмурно
8,4,7,"пасм, 13%"
8,4,8,пасмурно
8,4,9,"пасм, 11%"
8,4,10,"п/обл, 14%"
8,4,11,п/обл
8,4,12,"пасм, 24% дождь"
8,4,13,пасм
8,4,14,пасмурно
8,4,15,"пасм, ветер"
8,4,16,"пасм, 14% дождь"
8,4,17,п/обл
8,4,18,"ясно, неб.ветерок"
8,4,19,"обл с пр, 71%"
8,4,20,"п/обл, ветер"
8,4,21,ясно
8,4,22,ясно
8,4,23,ясно
8,4,24,"обл с пр, 11%"
8,4,25,"пасм, 85% дождь, ветерок"
8,4,26,"пасмурно, ветер"
8,4,27,"пасм, 19% дождь, ветер"
8,4,28,"ясно, 11% дождь"
8,4,29,"обл, неб.ветер"
8,4,30,"ясно, ветерок"
8,5,1,"обл с пр, ветерок"
8,5,2,пасм
8,5,3,"пасм, 70% ливень, ветер"
8,5,4,ясно
8,5,5,"ясно, ветерок"
8,5,6,ясно
8,5,7,обл с пр
8,5,8,ясно
8,5,9,ясно
8,5,10,ясно
8,5,11,"ясно, ветер"
8,5,12,ясно
8,5,13,п/обл
8,5,14,п/обл
8,5,15,пасм
8,5,16,"пасм, 73%"
8,5,17,"пасм, 23%"
8,5,18,пасмурно
8,5,19,пасмурно
8,5,20,пасмурно
8,5,21,ясно
8,5,22,ясно
8,5,23,обл с пр
8,5,24,облачно
8,5,25,облачно
8,5,26,"ясно, ветер"
8,5,27,обл с пр
8,5,28,п/обл
8,5,29,ясно
8,5,30,п/обл
8,5,31,ясно
8,6,1,ясно
8,6,2,малообл.
8,6,3,"ясно, сев-зап.ветер"
8,6,4,пер.обл.
8,6,5,ясно
8,6,6,"ясно, сев-зап.ветер"
8,6,10,ясно
8,6,11,ясно
8,6,12,ясно
8,6,13,облачно
8,6,14,облачно
8,6,15,пасмурно
8,6,16,пасм
8,6,17,"пасм, 54%  ливень"
8,6,18,пасм
8,6,19,обл с пр
8,6,20,облачно
8,6,21,"пер.обл., ощ.+23"
8,6,22,облачно
8,6,23,облачно
